Time	total	bad	good
2023-06-23 01:26:00	0.5742	0.0	0.5742
2023-06-23 01:27:00	0.5628	0.0	0.5628
2023-06-23 01:28:00	0.5514	0.0	0.5514
2023-06-23 01:29:00	0.54	0.0	0.54
2023-06-23 01:30:00	0.5286	0.0	0.5286
2023-06-23 01:31:00	0.5172	0.0	0.5172
2023-06-23 01:32:00	0.5058	0.0	0.5058
2023-06-23 01:33:00	0.49439999999999995	0.0	0.49439999999999995
2023-06-23 01:34:00	0.483	0.0	0.483
2023-06-23 01:35:00	0.4716	0.0	0.4716
2023-06-23 01:36:00	0.46019999999999994	0.0	0.46019999999999994
2023-06-23 01:37:00	0.4488	0.0	0.4488
2023-06-23 01:38:00	0.4374	0.0	0.4374
2023-06-23 01:39:00	0.42599999999999993	0.0	0.42599999999999993
2023-06-23 01:40:00	0.41459999999999997	0.0	0.41459999999999997
2023-06-23 01:41:00	0.4032	0.0	0.4032
2023-06-23 01:42:00	0.3917999999999999	0.0	0.3917999999999999
2023-06-23 01:43:00	0.38039999999999996	0.0	0.38039999999999996
2023-06-23 01:44:00	0.369	0.0	0.369
2023-06-23 01:45:00	0.38316923076923076	0.0	0.38316923076923076
2023-06-23 01:46:00	0.39733846153846153	0.0	0.39733846153846153
2023-06-23 01:47:00	0.4115076923076923	0.0	0.4115076923076923
2023-06-23 01:48:00	0.42567692307692306	0.0	0.42567692307692306
2023-06-23 01:49:00	0.43984615384615383	0.0	0.43984615384615383
2023-06-23 01:50:00	0.4540153846153846	0.0	0.4540153846153846
2023-06-23 01:51:00	0.46818461538461537	0.0	0.46818461538461537
2023-06-23 01:52:00	0.48235384615384613	0.0	0.48235384615384613
2023-06-23 01:53:00	0.49652307692307696	0.0	0.49652307692307696
2023-06-23 01:54:00	0.5106923076923077	0.0	0.5106923076923077
2023-06-23 01:55:00	0.5248615384615385	0.0	0.5248615384615385
2023-06-23 01:56:00	0.5390307692307692	0.0	0.5390307692307692
2023-06-23 01:57:00	0.5532	0.0	0.5532
2023-06-23 01:58:00	0.5673692307692307	0.0	0.5673692307692307
2023-06-23 01:59:00	0.5815384615384616	0.0	0.5815384615384616
2023-06-23 02:00:00	0.5957076923076923	0.0	0.5957076923076923
2023-06-23 02:01:00	0.6098769230769231	0.0	0.6098769230769231
2023-06-23 02:02:00	0.6240461538461539	0.0	0.6240461538461539
2023-06-23 02:03:00	0.6382153846153846	0.0	0.6382153846153846
2023-06-23 02:04:00	0.6523846153846153	0.0	0.6523846153846153
2023-06-23 02:05:00	0.6665538461538462	0.0	0.6665538461538462
2023-06-23 02:06:00	0.680723076923077	0.0	0.680723076923077
2023-06-23 02:07:00	0.6948923076923077	0.0	0.6948923076923077
2023-06-23 02:08:00	0.7090615384615384	0.0	0.7090615384615384
2023-06-23 02:09:00	0.7232307692307692	0.0	0.7232307692307692
2023-06-23 02:10:00	0.7374	0.0	0.7374
2023-06-23 02:11:00	0.7515692307692308	0.0	0.7515692307692308
2023-06-23 02:12:00	0.7657384615384615	0.0	0.7657384615384615
2023-06-23 02:13:00	0.7799076923076923	0.0	0.7799076923076923
2023-06-23 02:14:00	0.7940769230769231	0.0	0.7940769230769231
2023-06-23 02:15:00	0.8082461538461538	0.0	0.8082461538461538
2023-06-23 02:16:00	0.8224153846153845	0.0	0.8224153846153845
2023-06-23 02:17:00	0.8365846153846154	0.0	0.8365846153846154
2023-06-23 02:18:00	0.8507538461538462	0.0	0.8507538461538462
2023-06-23 02:19:00	0.8649230769230769	0.0	0.8649230769230769
