0.4,1
0.5,1
0.59,1
0.69,1
10,162
100,63
1000,4
11,52
110,56
1100,7
12,38
120,34
1200,7
13,56
130,31
1300,5
14,171
140,20
1400,3
15,382
150,21
16,695
160,14
1600,2
17,1347
170,16
1700,2
18,2462
180,13
19,3791
190,14
1900,1
2.1,1
2.4,8
2.5,9
2.6,34
2.7,69
2.8,134
2.9,209
20,4893
200,10
21,6048
210,15
2100,1
22,6868
220,10
23,7073
230,13
2300,1
24,6781
240,9
25,6312
250,6
2500,2
26,5565
260,5
27,4515
270,5
28,3578
280,7
2800,1
29,2876
290,4
3,291
3.1,320
3.2,386
3.3,459
3.4,434
3.5,367
3.6,335
3.7,230
3.8,181
3.9,140
30,2232
300,2
3000,10
31,1837
310,7
3100,2
32,1593
320,5
33,1278
330,4
3300,3
34,1048
340,6
35,785
350,5
36,676
360,4
37,552
370,8
38,437
380,9
3800,1
39,373
390,10
4,100
4.1,64
4.2,54
4.3,52
4.4,37
4.5,26
4.6,25
4.7,22
4.8,25
4.9,12
40,321
400,2
41,259
410,8
42,244
420,7
43,211
430,6
44,182
440,6
45,163
450,11
46,133
460,3
47,116
470,1
48,91
480,9
49,97
490,3
5,14
5.1,18
5.2,12
5.3,10
5.4,7
5.5,9
5.6,6
5.7,11
5.8,8
5.9,11
50,75
500,7
51,60
510,3
52,62
520,4
53,53
530,2
54,45
540,2
55,40
550,2
56,45
560,9
57,36
58,34
580,3
59,21
590,4
6,9
6.1,18
6.2,23
6.3,24
6.4,25
6.5,29
6.6,33
6.7,33
6.8,46
6.9,46
60,33
600,6
61,36
610,2
62,29
620,5
63,23
630,3
64,26
640,2
65,23
650,1
66,17
660,4
67,18
670,4
68,14
680,3
69,6
7,51
7.1,65
7.2,73
7.3,88
7.4,69
7.5,77
7.6,81
7.7,99
7.8,62
7.9,64
70,15
700,2
71,16
710,3
72,15
720,1
73,17
730,3
74,11
740,3
75,14
750,1
76,9
760,1
77,10
770,3
78,8
780,1
79,14
790,4
8,88
8.1,89
8.2,73
8.3,68
8.4,66
8.5,71
8.6,68
8.7,70
8.8,56
8.9,54
80,16
800,4
81,12
810,1
82,13
83,10
830,1
84,8
840,4
85,12
86,21
860,1
87,14
88,10
89,8
9,50
9.1,58
9.2,48
9.3,52
9.4,49
9.5,48
9.6,48
9.7,35
9.8,35
9.9,33
90,13
91,6
910,3
92,11
920,1
93,9
930,3
94,18
940,1
95,9
950,1
96,11
960,1
97,11
98,6
99,10
990,1
