method,path,code,size,latency
PUT,"/doc/1","200",265,9.930
PUT,"/doc/1","200",265,5.402
POST,"/doc/17","200",138,1.959
POST,"/doc/17","200",138,1.773
POST,"/doc/8","200",138,4.001
POST,"/doc/2","200",138,2.233
POST,"/doc/0","200",138,0.135
PUT,"/doc/1","200",265,6.992
POST,"/doc/0","200",138,0.117
PUT,"/doc/1","200",265,7.139
PUT,"/doc/1","200",265,7.690
POST,"/doc/0","200",138,0.117
POST,"/doc/0","200",138,2.316
POST,"/doc/0","200",138,2.106
POST,"/doc/0","200",138,0.118
POST,"/doc/0","200",138,2.625
POST,"/doc/0","200",138,0.122
POST,"/doc/0","200",138,4.070
PUT,"/doc/1","200",265,7.344
PUT,"/doc/1","200",265,7.786
PUT,"/doc/1","200",265,1.725
PUT,"/doc/1","200",265,7.390
POST,"/doc/0","200",138,0.117
POST,"/doc/0","200",138,3.787
POST,"/doc/0","200",138,2.981
POST,"/doc/0","200",138,0.124
POST,"/doc/0","200",138,3.096
POST,"/doc/0","200",138,5.304
POST,"/doc/0","200",138,0.117
POST,"/doc/0","200",138,0.107
PUT,"/doc/1","200",265,11.367
POST,"/doc/0","200",163,12.548
POST,"/doc/0","200",138,1.445
PUT,"/doc/1","200",267,41.423
PUT,"/doc/1","200",267,36.367
POST,"/doc/12","200",163,22.541
POST,"/doc/117","200",138,9.545
PUT,"/doc/1","200",265,19.123
POST,"/doc/2","200",138,10.876
PUT,"/doc/1","200",265,14.503
POST,"/doc/209","200",163,47.716
POST,"/doc/17","200",138,44.607
PUT,"/doc/1","200",265,8.457
PUT,"/doc/1","200",265,12.825
GET,"/doc/3","200",4047,0.395
GET,"/doc/4","200",795,0.098
GET,"/doc/3","200",4047,0.349
GET,"/doc/4","200",795,0.082
GET,"/doc/581","200",14877,0.664
PUT,"/doc/1","200",265,7.316
GET,"/doc/3","200",4047,0.350
GET,"/doc/4","200",795,0.067
POST,"/doc/386","200",163,57.710
PUT,"/doc/1","200",265,63.131
PUT,"/doc/1","200",265,39.677
POST,"/doc/8","200",138,20.872
POST,"/doc/385","200",163,33.766
PUT,"/doc/1","200",265,17.132
PUT,"/doc/1","200",265,9.887
POST,"/doc/117","200",138,9.360
POST,"/doc/6","200",163,21.766
PUT,"/doc/1","200",265,10.899
POST,"/doc/117","200",138,12.641
POST,"/doc/247","200",138,10.049
PUT,"/doc/1","200",267,47.449
PUT,"/doc/1","200",265,6.901
POST,"/doc/578","200",163,22.497
POST,"/doc/385","200",163,29.418
PUT,"/doc/1","200",265,14.706
PUT,"/doc/1","200",265,1.566
GET,"/doc/3","200",4047,0.393
GET,"/doc/4","200",795,0.072
GET,"/doc/3","200",4047,0.345
GET,"/doc/4","200",795,0.070
GET,"/doc/581","200",14877,0.665
POST,"/doc/303","200",163,22.022
GET,"/doc/3","200",4047,0.335
POST,"/doc/247","200",138,5.673
GET,"/doc/4","200",795,0.073
POST,"/doc/0","200",138,0.113
PUT,"/doc/1","200",265,7.968
PUT,"/doc/1","200",265,12.731
PUT,"/doc/1","200",265,7.718
POST,"/doc/0","200",138,4.655
GET,"/doc/582","404",59,0.048
POST,"/doc/17","200",138,4.365
PUT,"/doc/1","200",267,53.314
PUT,"/doc/1","200",265,5.678
PUT,"/doc/1","200",265,14.930
PUT,"/doc/1","200",265,9.227
PUT,"/doc/1","200",265,7.347
GET,"/doc/582","404",59,0.080
POST,"/doc/6","200",138,16.609
POST,"/doc/247","200",138,9.349
PUT,"/doc/1","200",265,14.740
PUT,"/doc/1","200",265,5.736
PUT,"/doc/1","200",265,6.873
POST,"/doc/385","200",163,39.102
POST,"/doc/117","200",138,12.315
POST,"/doc/0","200",138,2.416
POST,"/doc/117","200",138,9.925
PUT,"/doc/1","200",265,7.342
PUT,"/doc/1","200",265,6.953
PUT,"/doc/1","200",265,9.248
GET,"/doc/3","200",4047,0.385
GET,"/doc/4","200",795,0.081
GET,"/doc/3","200",4047,0.332
GET,"/doc/4","200",795,0.067
GET,"/doc/581","200",14877,0.666
PUT,"/doc/1","200",265,6.611
PUT,"/doc/1","200",265,6.980
GET,"/doc/3","200",4047,0.346
GET,"/doc/4","200",795,0.073
POST,"/doc/0","200",138,3.741
POST,"/doc/2","200",138,2.347
PUT,"/doc/1","200",265,5.897
POST,"/doc/0","200",163,8.788
POST,"/doc/0","200",138,0.118
PUT,"/doc/1","200",265,6.831
POST,"/doc/0","200",138,0.109
PUT,"/doc/1","200",265,6.600
POST,"/doc/2","200",138,4.484
PUT,"/doc/1","200",265,9.735
PUT,"/doc/1","200",265,7.071
PUT,"/doc/1","200",265,6.814
POST,"/doc/17","200",138,8.176
PUT,"/doc/1","200",265,7.957
POST,"/doc/2","200",138,1.884
POST,"/doc/0","200",138,1.776
PUT,"/doc/1","200",265,6.300
POST,"/doc/2","200",138,7.929
PUT,"/doc/1","200",265,16.371
PUT,"/doc/1","200",265,6.633
POST,"/doc/0","200",138,0.106
POST,"/doc/0","200",138,6.173
POST,"/doc/0","200",138,6.399
PUT,"/doc/18","200",269,9.125
PUT,"/doc/18","200",267,5.221
POST,"/doc/233","200",164,5.737
POST,"/doc/210","200",164,21.280
PUT,"/doc/18","200",267,5.084
PUT,"/doc/1","200",265,6.665
PUT,"/doc/1","200",265,5.786
POST,"/doc/583","200",164,21.356
POST,"/doc/584","200",164,11.824
PUT,"/doc/1","200",265,13.916
PUT,"/doc/1","200",265,10.992
PUT,"/doc/1","200",265,7.206
PUT,"/doc/1","200",265,6.895
POST,"/doc/17","200",138,6.798
POST,"/doc/19","200",163,12.304
PUT,"/doc/38","200",267,160.802
PUT,"/doc/18","200",271,214.832
PUT,"/doc/18","200",269,18.120
PUT,"/doc/38","200",267,34.529
PUT,"/doc/38","200",265,6.259
PUT,"/doc/38","200",265,7.280
PUT,"/doc/18","200",271,220.338
PUT,"/doc/38","200",267,18.477
PUT,"/doc/18","200",271,242.055
PUT,"/doc/38","200",267,66.502
PUT,"/doc/1","200",265,67.616
PUT,"/doc/1","200",265,68.982
POST,"/doc/585","200",166,136.113
POST,"/doc/586","200",166,206.402
POST,"/doc/587","200",165,44.909
POST,"/doc/588","200",164,139.120
PUT,"/doc/38","200",267,117.127
PUT,"/doc/1","200",265,3.901
POST,"/doc/589","200",166,271.721
POST,"/doc/590","200",166,441.312
PUT,"/doc/38","200",265,38.117
POST,"/doc/591","200",165,338.655
PUT,"/doc/18","200",271,897.155
PUT,"/doc/1","200",265,110.226
PUT,"/doc/38","200",267,118.291
POST,"/doc/592","200",166,316.380
POST,"/doc/593","200",166,406.120
POST,"/doc/302","200",163,45.683
PUT,"/doc/38","200",267,68.161
PUT,"/doc/38","200",265,57.007
PUT,"/doc/18","200",271,346.519
PUT,"/doc/18","200",271,315.680
POST,"/doc/303","200",164,6.183
POST,"/doc/594","200",166,124.464
POST,"/doc/13","200",164,5.377
POST,"/doc/198","200",164,5.857
POST,"/doc/595","200",166,120.468
POST,"/doc/303","200",164,6.299
POST,"/doc/596","200",166,93.083
POST,"/doc/597","200",164,27.257
POST,"/doc/598","200",166,32.380
PUT,"/doc/1","200",265,30.188
POST,"/doc/227","200",164,1.408
PUT,"/doc/38","200",267,42.024
POST,"/doc/173","200",164,16.227
POST,"/doc/599","200",165,20.154
POST,"/doc/600","200",164,6.181
POST,"/doc/210","200",164,6.207
PUT,"/doc/38","200",267,9.618
POST,"/doc/601","200",165,6.904
POST,"/doc/384","200",163,4.643
POST,"/doc/602","200",165,4.569
POST,"/doc/603","200",165,12.175
POST,"/doc/386","200",164,11.699
POST,"/doc/604","200",164,5.571
POST,"/doc/605","200",165,10.641
POST,"/doc/384","200",163,7.659
POST,"/doc/606","200",165,4.416
POST,"/doc/607","200",164,5.449
POST,"/doc/608","200",165,11.822
POST,"/doc/609","200",164,10.096
POST,"/doc/610","200",165,11.772
POST,"/doc/611","200",164,5.255
POST,"/doc/612","200",165,9.326
POST,"/doc/613","200",165,10.539
POST,"/doc/614","200",164,9.270
POST,"/doc/615","200",164,6.574
POST,"/doc/616","200",165,8.440
POST,"/doc/617","200",165,8.237
POST,"/doc/19","200",138,1.235
POST,"/doc/55","200",165,6.662
POST,"/doc/618","200",165,9.778
POST,"/doc/306","200",164,9.428
POST,"/doc/619","200",165,10.019
POST,"/doc/620","200",165,7.736
POST,"/doc/621","200",165,9.808
POST,"/doc/587","200",165,13.147
POST,"/doc/622","200",165,8.938
POST,"/doc/15","200",164,8.728
PUT,"/doc/38","200",265,8.962
POST,"/doc/623","200",165,11.341
POST,"/doc/624","200",164,5.738
PUT,"/doc/18","200",271,243.368
POST,"/doc/625","200",164,244.212
PUT,"/doc/38","200",265,3.458
PUT,"/doc/1","200",265,5.055
POST,"/doc/626","200",165,1062.292
PUT,"/doc/1","200",265,1066.056
PUT,"/doc/38","200",269,1039.393
PUT,"/doc/38","200",265,802.180
PUT,"/doc/38","200",265,555.448
POST,"/doc/627","200",163,49.642
PUT,"/doc/18","200",269,1306.250
PUT,"/doc/38","200",267,312.463
POST,"/doc/628","200",166,345.860
POST,"/doc/629","200",166,2164.398
POST,"/doc/630","200",166,2111.223
POST,"/doc/631","200",165,1918.607
POST,"/doc/632","200",166,1128.780
POST,"/doc/633","200",166,40.976
GET,"/doc/634","200",8442,0.487
POST,"/doc/228","200",164,4.589
PUT,"/doc/1","200",265,623.439
GET,"/doc/635","200",3829,0.289
POST,"/doc/26","200",164,6.051
POST,"/doc/609","200",163,5.066
POST,"/doc/6","200",163,93.082
PUT,"/doc/1","200",265,200.170
PUT,"/doc/18","200",271,3434.000
POST,"/doc/636","200",166,144.097
PUT,"/doc/18","200",271,2992.304
PUT,"/doc/38","200",269,2104.696
PUT,"/doc/18","200",271,175.145
POST,"/doc/637","200",165,1918.533
POST,"/doc/638","200",165,1918.611
PUT,"/doc/1","200",265,239.345
POST,"/doc/639","200",166,1941.060
POST,"/doc/640","200",166,1942.137
PUT,"/doc/18","200",271,1807.651
PUT,"/doc/18","200",271,1993.233
PUT,"/doc/18","200",271,797.510
POST,"/doc/641","200",165,57.866
PUT,"/doc/18","200",271,68.054
PUT,"/doc/1","200",265,11.895
POST,"/doc/642","200",166,35.742
PUT,"/doc/1","200",265,132.205
PUT,"/doc/1","200",265,76.799
PUT,"/doc/1","200",265,108.354
PUT,"/doc/1","200",265,120.812
PUT,"/doc/1","200",265,131.892
PUT,"/doc/38","200",265,228.826
PUT,"/doc/1","200",265,665.933
PUT,"/doc/1","200",265,919.037
PUT,"/doc/1","200",265,398.677
PUT,"/doc/1","200",265,1919.730
GET,"/doc/3","200",4047,0.391
GET,"/doc/4","200",795,0.074
GET,"/doc/3","200",4047,0.356
GET,"/doc/4","200",795,0.078
GET,"/doc/581","200",14877,0.668
GET,"/doc/3","200",4047,0.346
GET,"/doc/4","200",795,0.075
PUT,"/doc/1","200",265,3312.248
PUT,"/doc/1","200",265,2263.139
GET,"/doc/3","200",4048,0.452
GET,"/doc/4","200",795,0.087
GET,"/doc/3","200",4048,0.337
GET,"/doc/4","200",795,0.071
GET,"/doc/581","200",14877,0.699
GET,"/doc/3","200",4048,0.348
GET,"/doc/4","200",795,0.079
POST,"/doc/643","200",166,12626.812
POST,"/doc/73","413",166,12589.833
POST,"/doc/644","200",166,12520.673
PUT,"/doc/18","413",257,12350.758
PUT,"/doc/1","200",265,6357.494
PUT,"/doc/1","200",265,6280.731
POST,"/doc/645","200",166,11766.962
PUT,"/doc/1","200",265,4201.913
PUT,"/doc/18","413",257,10884.240
PUT,"/doc/18","413",257,10637.953
PUT,"/doc/18","413",257,9952.351
PUT,"/doc/18","413",257,9311.235
GET,"/doc/3","200",4048,0.456
GET,"/doc/4","200",795,0.082
GET,"/doc/3","200",4048,0.501
GET,"/doc/4","200",795,0.094
GET,"/doc/581","200",14877,0.707
GET,"/doc/3","200",4048,0.460
GET,"/doc/4","200",795,0.089
PUT,"/doc/1","200",265,7331.108
GET,"/doc/3","200",1318,0.742
GET,"/doc/3","200",1318,0.777
PUT,"/doc/18","413",257,22604.110
PUT,"/doc/1","200",265,13118.465
PUT,"/doc/1","200",265,13056.067
PUT,"/doc/1","200",265,4098.677
PUT,"/doc/1","200",265,902.800
PUT,"/doc/1","200",265,91.316
GET,"/doc/646","200",4379,0.364
GET,"/doc/647","200",2377,0.242
GET,"/doc/648","200",4546,0.325
GET,"/doc/649","200",2377,30.032
GET,"/doc/650","200",10377,11.132
GET,"/doc/651","200",15817,1557.424
GET,"/doc/652","200",15904,1562.145
GET,"/doc/3","200",4048,0.442
GET,"/doc/4","200",795,0.080
GET,"/doc/3","200",4048,0.479
GET,"/doc/4","200",795,0.078
GET,"/doc/653","200",14641,0.730
GET,"/doc/3","200",4048,0.353
GET,"/doc/4","200",795,0.067
GET,"/doc/3","200",4048,0.451
GET,"/doc/4","200",795,0.083
GET,"/doc/3","200",4048,0.450
GET,"/doc/4","200",795,0.077
GET,"/doc/653","200",14641,0.672
GET,"/doc/3","200",4048,0.358
GET,"/doc/4","200",795,0.069
GET,"/doc/3","200",4048,0.410
GET,"/doc/4","200",795,0.076
GET,"/doc/3","200",4048,0.352
GET,"/doc/4","200",795,0.075
GET,"/doc/653","200",14641,0.669
GET,"/doc/3","200",4048,0.363
GET,"/doc/4","200",795,0.069
GET,"/doc/654","200",7436,0.722
GET,"/doc/655","200",5772,0.557
GET,"/doc/656","200",6353,0.399
GET,"/doc/657","200",12762,0.619
GET,"/doc/658","200",6060,0.483
GET,"/doc/659","200",6046,0.412
GET,"/doc/660","404",180,0.200
GET,"/doc/661","200",6160,0.355
GET,"/doc/662","200",12701,0.599
GET,"/doc/663","200",5746,1504.616
GET,"/doc/664","200",5630,1513.212
GET,"/doc/665","200",12729,0.622
GET,"/doc/666","200",6032,0.525
GET,"/doc/667","200",6068,0.423
GET,"/doc/660","404",180,0.202
PUT,"/doc/1","200",265,46436.036
PUT,"/doc/1","200",265,46436.157
PUT,"/doc/1","200",265,40481.002
PUT,"/doc/1","200",265,32008.458
PUT,"/doc/1","200",265,28377.910
PUT,"/doc/1","200",265,23006.637
PUT,"/doc/1","200",265,18375.764
PUT,"/doc/1","200",265,13802.510
PUT,"/doc/1","200",265,9328.801
POST,"/doc/668","200",166,49135.766
PUT,"/doc/18","413",215,48982.335
PUT,"/doc/18","413",215,48982.406
PUT,"/doc/18","413",215,48982.418
PUT,"/doc/18","413",257,48297.021
PUT,"/doc/1","200",193,46896.264
PUT,"/doc/1","200",193,46896.526
PUT,"/doc/1","200",193,46896.543
PUT,"/doc/1","200",265,46020.840
PUT,"/doc/18","413",257,50158.345
PUT,"/doc/18","413",257,49287.299
PUT,"/doc/18","413",257,48070.049
PUT,"/doc/1","200",265,38361.943
PUT,"/doc/1","200",265,37873.144
PUT,"/doc/1","200",265,37311.063
PUT,"/doc/1","200",265,36827.131
PUT,"/doc/1","200",265,36590.581
PUT,"/doc/1","200",265,29285.224
PUT,"/doc/1","200",265,28284.413
PUT,"/doc/1","200",265,27816.828
PUT,"/doc/1","200",265,27590.014
POST,"/doc/669","200",166,47267.971
PUT,"/doc/1","200",265,20134.248
PUT,"/doc/1","200",265,19752.219
PUT,"/doc/1","200",265,19252.515
PUT,"/doc/1","200",267,18469.237
PUT,"/doc/1","200",265,11081.431
PUT,"/doc/1","200",265,10696.284
PUT,"/doc/1","200",265,10218.994
PUT,"/doc/1","200",265,9450.443
PUT,"/doc/1","200",267,4992.992
PUT,"/doc/1","200",265,1964.781
PUT,"/doc/1","200",265,1634.196
PUT,"/doc/1","200",265,988.699
PUT,"/doc/1","200",267,512.036
PUT,"/doc/18","413",257,21041.827
PUT,"/doc/18","413",257,11302.461
POST,"/doc/668","200",166,47291.338
PUT,"/doc/18","413",257,20965.616
POST,"/doc/668","200",166,47332.887
PUT,"/doc/18","413",257,47128.695
PUT,"/doc/18","413",257,41278.304
PUT,"/doc/18","413",257,40408.231
PUT,"/doc/18","413",257,40038.519
PUT,"/doc/18","413",257,39183.973
PUT,"/doc/18","413",257,38573.344
PUT,"/doc/18","413",257,35950.120
PUT,"/doc/18","413",257,31817.311
PUT,"/doc/18","413",257,31185.356
PUT,"/doc/18","413",257,30179.758
PUT,"/doc/18","413",257,30015.669
PUT,"/doc/18","413",257,29545.528
PUT,"/doc/18","413",257,26939.550
PUT,"/doc/18","413",257,22774.255
PUT,"/doc/18","413",257,22081.585
PUT,"/doc/18","413",257,20405.134
PUT,"/doc/18","413",257,17941.186
PUT,"/doc/18","413",257,13061.059
PUT,"/doc/18","413",257,12652.637
PUT,"/doc/18","413",257,12025.185
PUT,"/doc/18","413",257,11853.347
PUT,"/doc/18","200",271,8805.153
PUT,"/doc/1","200",265,655.116
PUT,"/doc/1","200",265,609.452
PUT,"/doc/18","200",269,4575.144
PUT,"/doc/1","200",267,658.101
PUT,"/doc/1","200",265,658.211
PUT,"/doc/1","200",265,616.881
PUT,"/doc/1","200",265,533.387
PUT,"/doc/18","200",269,4329.971
PUT,"/doc/18","200",269,3564.073
PUT,"/doc/18","200",269,2920.190
PUT,"/doc/18","200",269,3526.277
PUT,"/doc/1","200",265,25.837
PUT,"/doc/1","200",265,26.951
PUT,"/doc/1","200",265,27.276
PUT,"/doc/1","200",265,28.981
PUT,"/doc/1","200",265,6.105
POST,"/doc/670","200",166,769.139
PUT,"/doc/1","200",265,28.771
PUT,"/doc/1","200",265,19.162
PUT,"/doc/1","200",265,20.923
PUT,"/doc/1","200",265,8.926
PUT,"/doc/1","200",265,71.989
PUT,"/doc/1","200",265,79.201
PUT,"/doc/1","200",265,130.081
PUT,"/doc/1","200",265,42.143
PUT,"/doc/1","200",265,83.743
PUT,"/doc/1","200",265,57.162
PUT,"/doc/1","200",265,149.892
PUT,"/doc/1","200",265,58.177
PUT,"/doc/1","200",265,92.917
PUT,"/doc/1","200",265,66.740
PUT,"/doc/1","200",265,14.508
POST,"/doc/671","200",166,1521.380
PUT,"/doc/1","200",265,122.707
PUT,"/doc/1","200",265,104.774
PUT,"/doc/1","200",265,185.213
PUT,"/doc/1","200",265,104.718
PUT,"/doc/1","200",265,29.733
PUT,"/doc/1","200",265,121.115
PUT,"/doc/1","200",265,64.700
PUT,"/doc/1","200",265,78.838
PUT,"/doc/1","200",265,36.149
POST,"/doc/668","200",166,2337.634
PUT,"/doc/1","200",265,191.669
PUT,"/doc/1","200",265,232.999
PUT,"/doc/1","200",265,339.223
PUT,"/doc/1","200",265,776.522
PUT,"/doc/1","200",265,844.131
PUT,"/doc/1","200",265,988.985
PUT,"/doc/1","200",265,1018.959
PUT,"/doc/1","200",265,1033.970
PUT,"/doc/1","200",265,1086.121
PUT,"/doc/1","200",265,1285.862
PUT,"/doc/1","200",265,1373.003
PUT,"/doc/1","200",265,1548.336
GET,"/doc/3","200",4048,0.404
GET,"/doc/4","200",795,0.092
GET,"/doc/3","200",4048,0.351
GET,"/doc/4","200",795,0.076
GET,"/doc/653","200",14641,0.679
GET,"/doc/3","200",4048,0.353
GET,"/doc/4","200",795,0.077
PUT,"/doc/1","200",265,3127.602
PUT,"/doc/1","200",265,3138.420
PUT,"/doc/1","200",265,3570.101
GET,"/doc/672","200",7548,0.664
GET,"/doc/673","200",6013,0.686
GET,"/doc/674","200",6010,0.691
GET,"/doc/675","200",6005,0.667
GET,"/doc/676","200",5636,0.678
GET,"/doc/677","200",6017,0.710
GET,"/doc/678","200",5630,0.721
GET,"/doc/679","200",5636,0.676
GET,"/doc/680","200",5636,0.817
PUT,"/doc/1","200",265,4258.253
GET,"/doc/681","200",5636,0.494
GET,"/doc/3","200",4048,0.359
GET,"/doc/4","200",795,0.075
GET,"/doc/3","200",4048,0.354
GET,"/doc/4","200",795,0.072
GET,"/doc/653","200",14641,0.633
PUT,"/doc/1","200",265,4477.464
PUT,"/doc/1","200",265,251.225
GET,"/doc/3","200",4048,0.346
GET,"/doc/4","200",795,0.067
GET,"/doc/682","200",6103,0.661
GET,"/doc/683","200",6142,0.678
GET,"/doc/684","200",6212,0.558
PUT,"/doc/1","200",265,2172.400
PUT,"/doc/1","200",265,6433.309
PUT,"/doc/1","200",267,4138.201
PUT,"/doc/1","200",265,4053.179
PUT,"/doc/1","200",265,3539.961
PUT,"/doc/1","200",265,2275.597
PUT,"/doc/1","200",265,73.564
PUT,"/doc/1","200",265,4.747
PUT,"/doc/1","200",265,5.891
PUT,"/doc/1","200",265,9.433
PUT,"/doc/1","200",265,67.633
PUT,"/doc/1","200",265,107.510
GET,"/doc/3","200",4048,0.468
GET,"/doc/4","200",795,0.087
GET,"/doc/3","200",4048,0.365
GET,"/doc/4","200",795,0.071
GET,"/doc/653","200",14641,0.716
GET,"/doc/3","200",4048,0.342
GET,"/doc/4","200",795,0.071
POST,"/doc/668","200",166,13556.431
PUT,"/doc/18","413",257,13768.490
PUT,"/doc/18","413",257,13172.476
PUT,"/doc/1","200",265,113.252
PUT,"/doc/1","200",265,48.443
GET,"/doc/499","200",9320,0.623
GET,"/doc/378","200",9361,0.514
GET,"/doc/3","200",1319,0.787
PUT,"/doc/1","200",265,1921.399
PUT,"/doc/1","200",265,223.410
PUT,"/doc/1","200",265,2447.063
PUT,"/doc/1","200",265,3223.116
PUT,"/doc/1","200",265,2999.552
PUT,"/doc/1","200",265,971.348
PUT,"/doc/1","200",265,4.521
PUT,"/doc/1","200",265,6.806
PUT,"/doc/18","413",257,9924.424
PUT,"/doc/18","200",265,7161.482
PUT,"/doc/1","200",265,72.451
GET,"/doc/3","200",1315,0.763
PUT,"/doc/1","200",265,223.465
PUT,"/doc/1","200",265,194.181
PUT,"/doc/1","200",265,118.305
PUT,"/doc/1","200",265,7313.232
PUT,"/doc/1","200",265,2840.106
PUT,"/doc/1","200",265,1736.904
PUT,"/doc/1","200",265,6416.805
PUT,"/doc/1","200",265,4416.817
PUT,"/doc/1","200",265,2349.809
PUT,"/doc/1","200",265,8.278
PUT,"/doc/1","200",265,7.643
POST,"/doc/685","200",166,29737.939
PUT,"/doc/18","413",257,29696.257
PUT,"/doc/18","413",257,29549.916
PUT,"/doc/18","413",257,28775.089
PUT,"/doc/1","200",265,376.631
PUT,"/doc/1","200",265,190.728
PUT,"/doc/18","413",257,12110.987
POST,"/doc/686","200",166,30167.521
PUT,"/doc/1","200",265,143.003
PUT,"/doc/18","413",252,29006.755
PUT,"/doc/18","413",252,29006.815
PUT,"/doc/18","413",252,29006.847
POST,"/doc/687","200",166,29989.961
PUT,"/doc/18","413",257,23713.944
PUT,"/doc/18","413",257,23010.795
PUT,"/doc/18","413",257,22428.018
PUT,"/doc/18","413",257,21937.651
PUT,"/doc/18","200",267,4959.049
PUT,"/doc/18","200",267,4285.064
POST,"/doc/668","200",166,18993.474
PUT,"/doc/18","413",257,14783.472
PUT,"/doc/18","413",257,14042.497
PUT,"/doc/18","413",257,13976.940
PUT,"/doc/18","413",257,13527.237
PUT,"/doc/18","413",257,12956.397
PUT,"/doc/18","200",269,5733.842
PUT,"/doc/18","200",269,4924.340
PUT,"/doc/18","200",267,3991.153
PUT,"/doc/18","200",271,3969.643
PUT,"/doc/1","200",265,9.920
POST,"/doc/688","200",166,2909.391
POST,"/doc/689","200",166,2026.267
POST,"/doc/690","200",165,1337.916
PUT,"/doc/18","200",271,1400.588
PUT,"/doc/18","200",269,1387.755
PUT,"/doc/18","200",267,1043.842
PUT,"/doc/18","200",265,1137.826
POST,"/doc/668","200",166,1479.612
PUT,"/doc/18","200",269,1957.759
PUT,"/doc/18","200",269,1813.470
POST,"/doc/691","200",166,1520.738
PUT,"/doc/18","200",265,161.190
POST,"/doc/692","200",165,1177.761
POST,"/doc/693","200",165,1165.264
PUT,"/doc/18","200",269,874.964
PUT,"/doc/18","200",269,843.285
PUT,"/doc/18","200",269,829.300
PUT,"/doc/18","200",269,773.566
POST,"/doc/694","200",166,789.200
PUT,"/doc/18","200",269,176.019
POST,"/doc/695","200",165,30.263
POST,"/doc/696","200",165,28.378
POST,"/doc/0","200",138,1.592
POST,"/doc/697","200",165,37.043
POST,"/doc/698","200",165,22.093
POST,"/doc/12","200",164,2.616
POST,"/doc/699","200",165,5.577
POST,"/doc/45","200",165,5.670
PUT,"/doc/18","200",269,36.716
POST,"/doc/700","200",164,5.838
POST,"/doc/701","200",165,11.063
POST,"/doc/607","200",164,7.582
POST,"/doc/702","200",165,9.027
POST,"/doc/703","200",165,12.091
POST,"/doc/704","200",165,12.103
POST,"/doc/705","200",165,9.350
POST,"/doc/706","200",165,10.558
POST,"/doc/707","200",165,726.149
PUT,"/doc/18","200",269,747.098
POST,"/doc/708","200",165,892.987
POST,"/doc/709","200",165,868.101
POST,"/doc/710","200",165,884.244
PUT,"/doc/18","200",265,879.980
PUT,"/doc/18","200",269,832.935
POST,"/doc/711","200",166,77.855
PUT,"/doc/18","200",269,800.597
PUT,"/doc/18","200",269,803.491
PUT,"/doc/18","200",271,258.151
POST,"/doc/712","200",166,108.300
PUT,"/doc/1","200",265,209.526
PUT,"/doc/1","200",265,739.464
PUT,"/doc/1","200",265,237.158
POST,"/doc/713","200",166,957.506
POST,"/doc/714","200",166,960.520
POST,"/doc/715","200",165,879.293
POST,"/doc/716","200",165,876.336
GET,"/doc/3","200",4047,0.422
GET,"/doc/4","200",795,0.077
PUT,"/doc/1","200",265,20.587
PUT,"/doc/18","200",269,954.269
POST,"/doc/717","200",166,53.131
PUT,"/doc/18","200",269,678.059
PUT,"/doc/18","200",271,535.262
PUT,"/doc/1","200",265,132.065
PUT,"/doc/18","200",271,350.220
PUT,"/doc/18","200",269,64.990
PUT,"/doc/1","200",265,42.719
PUT,"/doc/18","200",269,57.503
PUT,"/doc/18","200",269,32.004
GET,"/doc/3","200",4047,0.472
GET,"/doc/4","200",795,0.082
GET,"/doc/718","200",15464,0.818
PUT,"/doc/18","200",267,8.154
PUT,"/doc/18","200",269,9.620
PUT,"/doc/18","200",269,10.431
PUT,"/doc/18","200",267,6.146
PUT,"/doc/18","200",267,5.516
PUT,"/doc/18","200",265,5.260
GET,"/doc/3","200",4047,0.448
GET,"/doc/4","200",795,0.107
PUT,"/doc/18","200",271,47.958
PUT,"/doc/1","200",265,13.812
PUT,"/doc/18","200",265,0.903
PUT,"/doc/18","200",267,4.849
PUT,"/doc/1","200",265,7.392
PUT,"/doc/1","200",265,7.866
PUT,"/doc/18","200",269,32.551
PUT,"/doc/1","200",267,413.376
POST,"/doc/719","200",166,1280.790
GET,"/doc/3","200",4047,0.473
GET,"/doc/4","200",795,0.081
GET,"/doc/3","200",4047,0.402
GET,"/doc/4","200",795,0.079
GET,"/doc/718","200",15464,0.675
GET,"/doc/3","200",4047,0.382
GET,"/doc/4","200",795,0.078
GET,"/doc/580","200",9575,0.592
POST,"/doc/720","200",166,5579.371
PUT,"/doc/1","200",265,4276.413
PUT,"/doc/1","200",265,4271.676
GET,"/doc/3","200",4047,0.411
GET,"/doc/4","200",795,0.086
GET,"/doc/3","200",4047,0.472
GET,"/doc/4","200",795,0.077
GET,"/doc/718","200",15464,1.492
GET,"/doc/3","200",4047,0.509
GET,"/doc/4","200",795,0.084
PUT,"/doc/1","200",265,7513.826
GET,"/doc/721","200",12599,1.007
PUT,"/doc/1","200",267,12949.568
PUT,"/doc/1","200",267,14236.421
PUT,"/doc/1","200",265,13879.810
GET,"/doc/722","200",4790,1515.374
GET,"/doc/723","200",13117,0.617
GET,"/doc/724","200",7720,0.525
GET,"/doc/344","200",7679,0.546
GET,"/doc/342","200",14534,0.833
GET,"/doc/363","200",7679,0.660
GET,"/doc/725","200",13472,0.685
GET,"/doc/349","200",15020,0.607
GET,"/doc/726","200",13673,0.837
GET,"/doc/727","200",7679,0.418
GET,"/doc/728","200",7679,0.455
GET,"/doc/364","200",11098,0.369
GET,"/doc/729","200",11009,0.372
GET,"/doc/730","200",11602,0.395
