method,path,code,size,latency
GET,"/doc/60","200",5528,364.762
POST,"/doc/61","200",165,47.839
GET,"/doc/58","200",5528,0.315
POST,"/doc/62","200",166,413.971
POST,"/doc/63","200",165,428.488
PUT,"/doc/18","200",267,390.299
POST,"/doc/64","200",165,388.543
PUT,"/doc/1","200",265,15.833
PUT,"/doc/38","200",267,47.834
POST,"/doc/65","200",166,362.409
PUT,"/doc/1","200",265,59.826
GET,"/doc/66","404",180,60.794
PUT,"/doc/38","200",265,3.914
PUT,"/doc/18","200",269,68.798
POST,"/doc/67","200",166,90.350
PUT,"/doc/38","200",265,7.551
POST,"/doc/68","200",166,31.278
POST,"/doc/15","200",164,5.926
PUT,"/doc/38","200",267,14.343
POST,"/doc/69","200",165,24.440
POST,"/doc/33","200",164,20.631
PUT,"/doc/38","200",267,14.060
POST,"/doc/70","200",165,81.317
PUT,"/doc/18","200",271,111.722
POST,"/doc/71","200",165,78.641
PUT,"/doc/18","200",271,79.190
PUT,"/doc/38","200",265,68.153
PUT,"/doc/18","200",271,77.600
POST,"/doc/72","200",165,86.816
POST,"/doc/73","200",165,12.592
POST,"/doc/74","200",165,7.694
GET,"/doc/75","200",5528,204.030
POST,"/doc/76","200",164,5.888
POST,"/doc/77","200",164,6.590
PUT,"/doc/38","200",265,8.131
PUT,"/doc/38","200",269,237.189
GET,"/doc/78","200",5528,196.706
GET,"/doc/79","200",5528,437.372
GET,"/doc/80","200",5528,549.205
GET,"/doc/81","200",5528,490.584
GET,"/doc/82","200",5528,333.163
PUT,"/doc/38","200",265,545.228
PUT,"/doc/38","200",265,565.794
GET,"/doc/83","200",5528,482.304
PUT,"/doc/38","200",267,734.838
GET,"/doc/84","200",7013,259.101
POST,"/doc/85","200",166,1693.291
GET,"/doc/86","200",7310,38.040
GET,"/doc/87","200",5528,348.409
GET,"/doc/88","200",5528,358.798
GET,"/doc/89","200",10488,363.694
GET,"/doc/90","200",9823,222.956
GET,"/doc/91","200",10546,71.746
GET,"/doc/92","200",10526,72.437
GET,"/doc/93","200",5528,181.645
GET,"/doc/94","200",5528,287.155
GET,"/doc/95","200",10441,20.988
GET,"/doc/96","200",10079,40.214
GET,"/doc/97","200",4658,18.698
GET,"/doc/98","200",4640,19.888
GET,"/doc/99","404",59,0.081
GET,"/doc/100","200",5528,153.345
GET,"/doc/101","200",4637,30.460
GET,"/doc/102","200",4637,42.316
GET,"/doc/103","200",4959,44.113
GET,"/doc/104","200",6134,54.277
